item_id,annotator_id,label,category,timestamp
A1,r1,1,health,2025-08-25T09:00:31
A1,r2,0,health,2025-08-25T09:01:12
A1,r3,0,health,2025-08-25T09:01:19
A1,r4,0,health,2025-08-25T09:01:28
A1,r5,1,health,2025-08-25T09:01:49
A1,r6,0,health,2025-08-25T09:02:32
A2,r1,0,finance,2025-08-25T09:03:02
A2,r2,1,finance,2025-08-25T09:03:20
A2,r3,0,finance,2025-08-25T09:04:00
A2,r4,0,finance,2025-08-25T09:04:44
A2,r5,1,finance,2025-08-25T09:05:14
A2,r6,0,finance,2025-08-25T09:05:22
A3,r1,0,health,2025-08-25T09:05:36
A3,r2,1,health,2025-08-25T09:05:42
A3,r3,1,health,2025-08-25T09:06:17
A3,r4,0,health,2025-08-25T09:06:50
A3,r5,0,health,2025-08-25T09:07:10
A3,r6,1,health,2025-08-25T09:07:16
A4,r1,1,finance,2025-08-25T09:07:59
A4,r2,1,finance,2025-08-25T09:08:24
A4,r3,0,finance,2025-08-25T09:08:53
A4,r4,1,finance,2025-08-25T09:09:24
A4,r5,1,finance,2025-08-25T09:10:05
A4,r6,0,finance,2025-08-25T09:10:21
A5,r1,1,sports,2025-08-25T09:11:00
A5,r2,1,sports,2025-08-25T09:11:12
A5,r3,0,sports,2025-08-25T09:11:38
A5,r4,1,sports,2025-08-25T09:12:22
A5,r5,1,sports,2025-08-25T09:12:34
A5,r6,1,sports,2025-08-25T09:13:18
A6,r1,1,health,2025-08-25T09:13:31
A6,r2,1,health,2025-08-25T09:13:55
A6,r3,1,health,2025-08-25T09:14:22
A6,r4,1,health,2025-08-25T09:14:27
A6,r5,1,health,2025-08-25T09:15:07
A6,r6,0,health,2025-08-25T09:15:50
A7,r1,1,health,2025-08-25T09:16:10
A7,r2,1,health,2025-08-25T09:16:24
A7,r3,0,health,2025-08-25T09:16:37
A7,r4,0,health,2025-08-25T09:17:05
A7,r5,1,health,2025-08-25T09:17:17
A7,r6,0,health,2025-08-25T09:17:28
A8,r1,1,health,2025-08-25T09:17:56
A8,r2,1,health,2025-08-25T09:18:32
A8,r3,0,health,2025-08-25T09:18:47
A8,r4,0,health,2025-08-25T09:19:24
A8,r5,1,health,2025-08-25T09:19:41
A8,r6,0,health,2025-08-25T09:19:50
A9,r1,1,sports,2025-08-25T09:20:00
A9,r2,0,sports,2025-08-25T09:20:06
A9,r3,1,sports,2025-08-25T09:20:33
A9,r4,1,sports,2025-08-25T09:20:40
A9,r5,0,sports,2025-08-25T09:21:19
A9,r6,1,sports,2025-08-25T09:21:28
A10,r1,0,finance,2025-08-25T09:22:12
A10,r2,1,finance,2025-08-25T09:22:29
A10,r3,1,finance,2025-08-25T09:22:50
A10,r4,1,finance,2025-08-25T09:23:29
A10,r5,0,finance,2025-08-25T09:23:50
A10,r6,0,finance,2025-08-25T09:24:12
A11,r1,1,sports,2025-08-25T09:24:40
A11,r2,1,sports,2025-08-25T09:24:54
A11,r3,1,sports,2025-08-25T09:25:08
A11,r4,1,sports,2025-08-25T09:25:50
A11,r5,0,sports,2025-08-25T09:26:19
A11,r6,1,sports,2025-08-25T09:26:25
A12,r1,1,health,2025-08-25T09:27:02
A12,r2,1,health,2025-08-25T09:27:08
A12,r3,1,health,2025-08-25T09:27:22
A12,r4,1,health,2025-08-25T09:27:50
A12,r5,0,health,2025-08-25T09:28:13
A12,r6,0,health,2025-08-25T09:28:24
A13,r1,1,finance,2025-08-25T09:28:51
A13,r2,0,finance,2025-08-25T09:29:14
A13,r3,0,finance,2025-08-25T09:29:24
A13,r4,0,finance,2025-08-25T09:29:41
A13,r5,1,finance,2025-08-25T09:30:11
A13,r6,0,finance,2025-08-25T09:30:28
A14,r1,0,health,2025-08-25T09:31:01
A14,r2,0,health,2025-08-25T09:31:12
A14,r3,0,health,2025-08-25T09:31:21
A14,r4,1,health,2025-08-25T09:32:01
A14,r5,1,health,2025-08-25T09:32:08
A14,r6,1,health,2025-08-25T09:32:19
A15,r1,0,finance,2025-08-25T09:32:46
A15,r2,0,finance,2025-08-25T09:33:30
A15,r3,0,finance,2025-08-25T09:33:51
A15,r4,0,finance,2025-08-25T09:34:17
A15,r5,1,finance,2025-08-25T09:34:27
A15,r6,0,finance,2025-08-25T09:34:43
A16,r1,1,sports,2025-08-25T09:34:54
A16,r2,0,sports,2025-08-25T09:35:08
A16,r3,0,sports,2025-08-25T09:35:34
A16,r4,1,sports,2025-08-25T09:35:54
A16,r5,1,sports,2025-08-25T09:36:27
A16,r6,1,sports,2025-08-25T09:37:11
A17,r1,1,finance,2025-08-25T09:37:30
A17,r2,1,finance,2025-08-25T09:37:55
A17,r3,0,finance,2025-08-25T09:38:06
A17,r4,1,finance,2025-08-25T09:38:38
A17,r5,1,finance,2025-08-25T09:39:19
A17,r6,0,finance,2025-08-25T09:39:58
A18,r1,1,sports,2025-08-25T09:40:28
A18,r2,1,sports,2025-08-25T09:41:08
A18,r3,0,sports,2025-08-25T09:41:34
A18,r4,1,sports,2025-08-25T09:42:10
A18,r5,0,sports,2025-08-25T09:42:49
A18,r6,1,sports,2025-08-25T09:43:25
A19,r1,0,health,2025-08-25T09:43:38
A19,r2,1,health,2025-08-25T09:44:22
A19,r3,0,health,2025-08-25T09:44:52
A19,r4,0,health,2025-08-25T09:45:09
A19,r5,1,health,2025-08-25T09:45:37
A19,r6,1,health,2025-08-25T09:46:19
A20,r1,1,finance,2025-08-25T09:46:54
A20,r2,1,finance,2025-08-25T09:47:04
A20,r3,0,finance,2025-08-25T09:47:38
A20,r4,1,finance,2025-08-25T09:47:52
A20,r5,0,finance,2025-08-25T09:48:16
A20,r6,1,finance,2025-08-25T09:48:29
A21,r1,1,health,2025-08-25T09:48:39
A21,r2,1,health,2025-08-25T09:48:45
A21,r3,0,health,2025-08-25T09:49:25
A21,r4,1,health,2025-08-25T09:49:34
A21,r5,0,health,2025-08-25T09:50:09
A21,r6,0,health,2025-08-25T09:50:50
A22,r1,0,sports,2025-08-25T09:51:11
A22,r2,1,sports,2025-08-25T09:51:21
A22,r3,1,sports,2025-08-25T09:51:55
A22,r4,1,sports,2025-08-25T09:52:24
A22,r5,1,sports,2025-08-25T09:52:33
A22,r6,1,sports,2025-08-25T09:53:12
A23,r1,1,health,2025-08-25T09:53:50
A23,r2,0,health,2025-08-25T09:54:11
A23,r3,1,health,2025-08-25T09:54:32
A23,r4,0,health,2025-08-25T09:54:41
A23,r5,1,health,2025-08-25T09:55:10
A23,r6,1,health,2025-08-25T09:55:22
A24,r1,1,health,2025-08-25T09:55:32
A24,r2,0,health,2025-08-25T09:56:11
A24,r3,0,health,2025-08-25T09:56:29
A24,r4,1,health,2025-08-25T09:56:43
A24,r5,0,health,2025-08-25T09:57:01
A24,r6,1,health,2025-08-25T09:57:26
A25,r1,1,health,2025-08-25T09:57:45
A25,r2,1,health,2025-08-25T09:57:55
A25,r3,0,health,2025-08-25T09:58:05
A25,r4,1,health,2025-08-25T09:58:16
A25,r5,0,health,2025-08-25T09:58:36
A25,r6,0,health,2025-08-25T09:58:45
A26,r1,1,sports,2025-08-25T09:59:28
A26,r2,1,sports,2025-08-25T09:59:49
A26,r3,0,sports,2025-08-25T10:00:26
A26,r4,1,sports,2025-08-25T10:01:00
A26,r5,0,sports,2025-08-25T10:01:27
A26,r6,1,sports,2025-08-25T10:01:34
A27,r1,0,finance,2025-08-25T10:02:04
A27,r2,1,finance,2025-08-25T10:02:40
A27,r3,0,finance,2025-08-25T10:03:15
A27,r4,0,finance,2025-08-25T10:03:20
A27,r5,1,finance,2025-08-25T10:03:56
A27,r6,1,finance,2025-08-25T10:04:06
A28,r1,1,sports,2025-08-25T10:04:36
A28,r2,1,sports,2025-08-25T10:04:53
A28,r3,0,sports,2025-08-25T10:05:00
A28,r4,0,sports,2025-08-25T10:05:23
A28,r5,1,sports,2025-08-25T10:06:07
A28,r6,1,sports,2025-08-25T10:06:45
A29,r1,0,sports,2025-08-25T10:07:01
A29,r2,1,sports,2025-08-25T10:07:45
A29,r3,1,sports,2025-08-25T10:08:18
A29,r4,0,sports,2025-08-25T10:08:37
A29,r5,1,sports,2025-08-25T10:09:05
A29,r6,0,sports,2025-08-25T10:09:30
A30,r1,0,finance,2025-08-25T10:10:02
